"Car_Class","Space","Position","Pole","Wall","Door","Map","Legroom","Perpendicular","SeatPole","Vestibule"
"R142a","19e",1,0,0,1,0,0,0,0,0
"R142a","20.5a",0,0,0,4,0,0,0,0,0
"R142a","20.5b",0,1,0,0,0,0,0,0,1
"R142a","20.5c",0,1,0,0,0,0,0,0,1
"R142a","20.5d",0,1,0,0,0,0,0,0,1
"R142a","20.5e",0,0,0,4,0,0,0,0,0
"R142a","20a",0,1,0,3,0,0,0,0,0
"R142a","20b",0,1,0,0,0,0,0,0,1
"R142a","20c",0,1,0,0,0,0,0,0,1
"R142a","20d",0,1,0,0,0,0,0,0,1
"R142a","20e",0,1,0,3,0,0,0,0,0
"R142a","21a",0,1,0,3,0,0,0,0,0
"R142a","21b",0,1,0,0,0,0,0,0,1
"R142a","21c",0,1,0,0,0,0,0,0,1
"R142a","21d",0,1,0,0,0,0,0,0,1
"R142a","21e",0,1,0,3,0,0,0,0,0
"R142a","22a",1,0,0,1,1,0,0,0,0
"R142a","22b",0,1,0,0,3,0,0,0,0
"R142a","22c",0,0,0,0,0,0,0,0,0
"R142a","22d",0,1,0,0,0,0,0,0,0
"R142a","22e",1,0,0,2,2,0,0,0,0
"R142a","23a",1,0,2,0,1,0,0,0,0
"R142a","23b",0,0,4,0,3,0,0,0,0
"R142a","23c",0,0,4,0,0,0,0,0,0
"R142a","23d",0,0,4,0,0,0,0,0,0
"R142a","23e",1,0,1,0,2,0,0,0,0
"R142b","01a",1,0,1,0,0,0,0,0,0
"R142b","01b",0,0,4,0,0,0,0,0,0
"R142b","01c",0,0,4,0,0,0,0,0,0
"R142b","01d",0,0,4,0,0,0,0,0,0
"R142b","01e",1,0,2,0,0,0,0,0,0
"R142b","02a",1,0,0,2,0,0,0,0,0
"R142b","02b",0,1,0,0,0,0,0,0,0
"R142b","02c",0,0,0,0,0,0,0,0,0
"R142b","02d",0,0,0,0,0,0,0,0,0
"R142b","02e",1,0,0,0,0,0,0,0,0
"R142b","03a",0,1,0,4,0,0,0,0,0
"R142b","03b",0,1,0,0,0,0,0,0,1
"R142b","03c",0,0,0,0,0,0,0,0,1
"R142b","03d",0,0,0,0,3,0,0,0,1
"R142b","03e",1,0,0,0,1,0,0,0,0
"R142b","04a",0,0,0,4,0,0,0,0,0
"R142b","04b",0,1,0,0,0,0,0,0,1
"R142b","04c",0,1,0,0,0,0,0,0,1
"R142b","04d",0,1,0,0,3,0,0,0,1
"R142b","04e",1,0,0,1,1,0,0,0,0
"R142b","05a",0,1,0,4,0,0,0,0,0
"R142b","05b",0,1,0,0,0,0,0,0,1
"R142b","05c",0,1,0,0,0,0,0,0,1
"R142b","05d",0,1,0,0,0,0,0,0,1
"R142b","05e",0,1,0,4,0,0,0,0,0
"R142b","06a",1,0,0,1,0,0,0,0,0
"R142b","06b",0,1,0,0,0,0,0,0,1
"R142b","06c",0,0,0,0,0,0,0,0,1
"R142b","06d",0,1,0,0,0,0,0,0,1
"R142b","06e",0,0,0,4,0,0,0,0,0
"R142b","07a",1,0,0,0,0,0,0,0,0
"R142b","07b",0,0,0,0,0,0,0,0,1
"R142b","07c",0,0,0,0,0,0,0,0,1
"R142b","07d",0,1,0,0,0,0,0,0,1
"R142b","07e",0,1,0,4,0,0,0,0,0
"R142b","08a",1,0,0,0,0,0,0,0,0
"R142b","08b",0,0,0,0,0,0,0,0,0
"R142b","08c",0,0,0,0,0,0,0,0,0
"R142b","08d",0,1,0,0,0,0,0,0,0
"R142b","08e",1,0,0,2,0,0,0,0,0
"R142b","09a",1,0,0,0,0,0,0,2,0
"R142b","09b",0,1,0,0,0,0,0,0,0
"R142b","09c",0,0,0,0,0,0,0,0,0
"R142b","09d",0,0,0,0,0,0,0,0,0
"R142b","09e",1,0,0,0,0,0,0,0,0
"R142b","10a",1,0,0,0,0,0,0,1,0
"R142b","10b",0,1,0,0,0,0,0,0,0
"R142b","10c",0,0,0,0,0,0,0,0,0
"R142b","10d",0,1,0,0,0,0,0,0,0
"R142b","10e",1,0,0,0,0,0,0,1,0
"R142b","11a",1,0,0,0,0,0,0,0,0
"R142b","11b",0,0,0,0,0,0,0,0,0
"R142b","11c",0,0,0,0,0,0,0,0,0
"R142b","11d",0,1,0,0,0,0,0,0,0
"R142b","11e",1,0,0,0,0,0,0,2,0
"R142b","12a",1,0,0,2,0,0,0,0,0
"R142b","12b",0,1,0,0,0,0,0,0,0
"R142b","12c",0,0,0,0,0,0,0,0,0
